2014-10-06 15:42:59,717 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exampe.felix.jeemavenapp:jeemavenapp:0.0.1-SNAPSHOT @ C:\Users\Felix\eclipse_workspace\jeemavenapp\pom.xml.
2014-10-06 15:43:01,310 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jeemavenapp/src/main/java
2014-10-06 15:43:01,313 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jeemavenapp/src/main/resources
2014-10-06 15:43:01,314 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exampe.felix.jeemavenapp:jeemavenapp:0.0.1-SNAPSHOT @ C:\Users\Felix\eclipse_workspace\jeemavenapp\pom.xml.
2014-10-06 15:43:01,314 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jeemavenapp/src/test/java
2014-10-06 15:43:01,315 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jeemavenapp/src/test/resources
2014-10-06 15:43:02,650 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exampe.felix.jeemavenapp:jeemavenapp:0.0.1-SNAPSHOT @ C:\Users\Felix\eclipse_workspace\jeemavenapp\pom.xml.
2014-10-06 15:43:02,770 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:02,780 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:43:02,780 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:02,780 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:43:04,050 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exampe.felix.jeemavenapp:jeemavenapp:0.0.1-SNAPSHOT @ C:\Users\Felix\eclipse_workspace\jeemavenapp\pom.xml.
2014-10-06 15:43:04,130 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:04,140 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:43:04,140 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:04,140 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:43:39,413 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exampe.felix.jeemavenapp:jeemavenapp:0.0.1-SNAPSHOT @ C:\Users\Felix\eclipse_workspace\jeemavenapp\pom.xml.
2014-10-06 15:43:39,498 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:39,499 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:43:39,501 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:43:39,502 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:47:13,848 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Felix\eclipse_workspace\jeemavenapp
2014-10-06 15:47:13,848 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2014-10-06 15:47:16,312 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:47:16,322 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-06 15:47:16,322 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-06 15:47:16,322 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
